城市,攻击策略,攻击半径,健壮性
Chengdu,随机打击,0,0.195118
Chengdu,动态度贪心,0,0.109704
Chengdu,动态 k-core 贪心,0,0.099486
Chengdu,动态近似介数贪心,0,0.046229
Chengdu,动态分裂增益贪心,0,0.129983
Chengdu,边际收益驱动的自适应调权,0,0.016195
Chengdu,权重池搜索的动态调权,0,0.023688
Chengdu,随机打击,100,0.263878
Chengdu,动态度贪心,100,0.167164
Chengdu,动态 k-core 贪心,100,0.162227
Chengdu,动态近似介数贪心,100,0.073638
Chengdu,动态分裂增益贪心,100,0.228583
Chengdu,边际收益驱动的自适应调权,100,0.029455
Chengdu,权重池搜索的动态调权,100,0.048545
Chengdu,随机打击,300,0.309903
Chengdu,动态度贪心,300,0.272229
Chengdu,动态 k-core 贪心,300,0.269793
Chengdu,动态近似介数贪心,300,0.089577
Chengdu,动态分裂增益贪心,300,0.291559
Chengdu,边际收益驱动的自适应调权,300,0.063649
Chengdu,权重池搜索的动态调权,300,0.118197
Chengdu,随机打击,500,0.329008
Chengdu,动态度贪心,500,0.338951
Chengdu,动态 k-core 贪心,500,0.335507
Chengdu,动态近似介数贪心,500,0.128351
Chengdu,动态分裂增益贪心,500,0.327681
Chengdu,边际收益驱动的自适应调权,500,0.085141
Chengdu,权重池搜索的动态调权,500,0.166597
Dalian,随机打击,0,0.137018
Dalian,动态度贪心,0,0.087075
Dalian,动态 k-core 贪心,0,0.075158
Dalian,动态近似介数贪心,0,0.033455
Dalian,动态分裂增益贪心,0,0.108584
Dalian,边际收益驱动的自适应调权,0,0.008088
Dalian,权重池搜索的动态调权,0,0.013020
Dalian,随机打击,100,0.196423
Dalian,动态度贪心,100,0.150950
Dalian,动态 k-core 贪心,100,0.137200
Dalian,动态近似介数贪心,100,0.041700
Dalian,动态分裂增益贪心,100,0.199348
Dalian,边际收益驱动的自适应调权,100,0.013184
Dalian,权重池搜索的动态调权,100,0.026868
Dalian,随机打击,300,0.267524
Dalian,动态度贪心,300,0.241876
Dalian,动态 k-core 贪心,300,0.234319
Dalian,动态近似介数贪心,300,0.051134
Dalian,动态分裂增益贪心,300,0.306598
Dalian,边际收益驱动的自适应调权,300,0.025413
Dalian,权重池搜索的动态调权,300,0.080251
Dalian,随机打击,500,0.310951
Dalian,动态度贪心,500,0.300094
Dalian,动态 k-core 贪心,500,0.294149
Dalian,动态近似介数贪心,500,0.066553
Dalian,动态分裂增益贪心,500,0.294795
Dalian,边际收益驱动的自适应调权,500,0.030839
Dalian,权重池搜索的动态调权,500,0.096471
Dongguan,随机打击,0,0.183095
Dongguan,动态度贪心,0,0.105656
Dongguan,动态 k-core 贪心,0,0.086546
Dongguan,动态近似介数贪心,0,0.042383
Dongguan,动态分裂增益贪心,0,0.146920
Dongguan,边际收益驱动的自适应调权,0,0.017780
Dongguan,权重池搜索的动态调权,0,0.018360
Dongguan,随机打击,100,0.211256
Dongguan,动态度贪心,100,0.153112
Dongguan,动态 k-core 贪心,100,0.140220
Dongguan,动态近似介数贪心,100,0.051051
Dongguan,动态分裂增益贪心,100,0.218465
Dongguan,边际收益驱动的自适应调权,100,0.033250
Dongguan,权重池搜索的动态调权,100,0.036969
Dongguan,随机打击,300,0.285649
Dongguan,动态度贪心,300,0.234795
Dongguan,动态 k-core 贪心,300,0.226148
Dongguan,动态近似介数贪心,300,0.068986
Dongguan,动态分裂增益贪心,300,0.296358
